transaction_id,transaction_ts,customer_id,merchant_id,amount,currency,merchant_category,device_fingerprint,ip_geo_country,hour_of_day,day_of_week,customer_tenure_days,avg_monthly_spend,num_prev_tx_24h,is_fraud
c8cd74ce-4ec7-431f-baa8-61cb42a56746,2025-08-11T17:36:37.015811,C3649,M205,275.67,CAD,retail,D13435,IN,17,0,713,494.12,0,0
1cae90d5-8dcc-4a28-b156-264481a86670,2025-08-24T18:01:10.015811,C19727,M218,172.91,CAD,entertainment,D54988,US,18,6,3680,492.67,0,0
44d27a31-249a-4040-8a9e-787360a651ad,2025-09-27T07:32:58.015811,C13849,M2788,86.42,CAD,utilities,D13397,CA,7,5,3113,110.11,4,0
35c23461-5c52-4b0b-8c83-2af7723e6230,2025-10-08T14:20:09.015811,C15055,M4393,48.73,CAD,retail,D38428,IN,14,2,2963,478.93,0,0
2f09d8eb-2d1f-4841-a1e7-a8d6c7fa1077,2025-07-29T18:12:10.015811,C9483,M654,418.45,CAD,grocery,D59430,GB,18,1,1333,294.31,2,0
9dcdffc1-f06a-4d68-92b5-1762ca92c173,2025-08-07T10:48:04.015811,C2340,M4991,206.49,CAD,retail,D60590,AU,10,3,2212,456.49,0,0
45382241-1929-439a-82a1-838d71f6bad5,2025-10-09T16:47:01.015811,C10337,M3287,83.91,CAD,electronics,D94099,GB,16,3,1742,579.82,5,0
c33117f6-5dd7-4874-82ee-534688e83f5e,2025-09-17T02:22:02.015811,C4576,M2021,278.55,CAD,entertainment,D56156,IN,2,2,3272,288.38,1,0
b052b7c9-f52c-41b9-9f0c-23e505f899eb,2025-10-03T23:44:54.015811,C1544,M899,55.81,CAD,entertainment,D78173,CA,23,4,3153,302.71,4,0
a005efd4-f562-40b7-aa13-647e556b623f,2025-08-20T02:28:22.015811,C377,M939,232.84,CAD,grocery,D84013,GB,2,2,914,240.88,0,0
541ed522-d3ab-4daf-81ad-06fadb562c53,2025-07-19T18:41:51.015811,C8631,M4101,293.64,CAD,retail,D81960,GB,18,5,4159,516.58,1,0
b9a9db90-c459-45d6-9b5b-1a26ec421403,2025-07-29T05:15:05.015811,C17379,M5,189.08,CAD,retail,D47577,GB,5,1,1962,79.94,0,0
d18dae61-63e6-4322-a985-b63dbd9ae4e8,2025-08-26T15:08:34.015811,C2268,M4364,141.67,CAD,grocery,D79508,AU,15,1,1736,634.64,3,0
58bf6d1b-78fe-4593-b82b-122d895949b3,2025-08-10T17:15:25.015811,C12237,M3589,79.03,CAD,retail,D72604,US,17,6,4821,192.76,5,0
9c63fdc8-0e36-4a6f-ad0f-a986cbfe0d7d,2025-10-06T06:31:43.015811,C1030,M2707,33.95,CAD,entertainment,D28081,IN,6,0,1084,696.72,4,0
2a6bf14a-04b3-4211-8533-128ddba74d12,2025-07-28T15:17:13.015811,C15499,M3335,65.04,CAD,grocery,D55520,AU,15,0,3826,576.89,0,0
8333a6ad-fed7-4c22-bafa-009c7f6b8128,2025-09-09T20:57:01.015811,C3581,M2037,65.33,CAD,retail,D24051,GB,20,1,3790,212.0,3,0
af9340b7-b3bc-433d-96aa-f3ac913a98c0,2025-07-21T17:02:07.015811,C18034,M803,27.6,CAD,utilities,D12225,US,17,0,1363,321.42,3,0
6dcdf9a0-138d-43f8-b7bc-73b8d69a4949,2025-09-26T19:57:01.015811,C12419,M18,315.81,CAD,grocery,D95749,IN,19,4,3987,150.12,0,0
6a080895-6180-42ed-bf3e-c667efa70606,2025-08-21T04:10:34.015811,C1998,M2570,29.74,CAD,travel,D69616,US,4,3,466,170.46,5,0
bdf28806-50b9-4fb1-9709-1c3c63abce6b,2025-09-03T14:43:03.015811,C3929,M4667,78.62,CAD,entertainment,D54949,IN,14,2,4631,421.62,1,0
56a5ae64-5f5b-4ff4-b3e8-df0d81c9b995,2025-09-12T07:28:52.015811,C7822,M2176,117.49,CAD,grocery,D41442,CA,7,4,77,363.18,0,0
cf053532-4eb6-448a-a137-5c28e7ba7633,2025-09-22T02:53:50.015811,C16577,M2173,50.68,CAD,retail,D32019,GB,2,0,2335,152.07,5,0
6b1d8e16-fb11-4955-ace1-6b2fa78a2824,2025-07-26T10:54:12.015811,C17333,M65,224.51,CAD,electronics,D13578,US,10,5,2167,123.44,4,0
7316ad13-5587-4918-95ee-5fa9d3f7ee58,2025-09-15T11:02:35.015811,C19820,M1726,257.01,CAD,entertainment,D34601,IN,11,0,4003,212.86,0,0
8a1ecaf3-a69d-4660-a6ac-2357da12a8a4,2025-09-01T16:34:46.015811,C9067,M362,5.78,CAD,entertainment,D34336,US,16,0,3620,450.9,0,0
18645294-6422-4ea0-822c-8dfa16f1bb7a,2025-07-19T01:47:44.015811,C4885,M4470,22.49,CAD,travel,D56334,US,1,5,343,250.84,0,0
738f8bb9-4bfa-453c-b43e-af18a9d6d7d4,2025-09-22T10:04:08.015811,C8177,M843,105.91,CAD,utilities,D81352,US,10,0,1940,1166.68,1,0
a97a1bb0-af3f-48dd-bbf7-3f232319b7df,2025-10-10T09:49:34.015811,C5878,M2722,314.01,CAD,entertainment,D96346,US,9,4,2186,153.03,3,0
92eb198a-309f-4fe7-b9bb-c742208491bc,2025-07-21T10:54:55.015811,C15424,M1823,67.27,CAD,grocery,D29832,US,10,0,194,586.69,2,0
1806a11f-3b0b-4aad-af8d-201ad3cf16e2,2025-07-29T17:36:03.015811,C9147,M2877,209.88,CAD,electronics,D70283,GB,17,1,227,123.37,1,0
9d21b8df-f3b5-4c3b-bfc6-65d6f3386a66,2025-09-17T01:00:04.015811,C1254,M889,188.01,CAD,utilities,D57200,IN,1,2,4190,123.59,1,0
e66430e8-b491-49c6-89dd-e16ab0af4f61,2025-08-04T23:59:36.015811,C14289,M14,157.07,CAD,entertainment,D97249,US,23,0,2984,340.97,2,0
62e9e92f-8032-4110-a1fc-27a6a309a619,2025-08-09T09:46:40.015811,C4084,M2461,152.49,CAD,grocery,D91385,GB,9,5,4542,131.63,3,0
b145dbec-5b65-4ad3-ba92-781244f200a7,2025-07-17T03:53:36.015811,C5703,M4663,92.21,CAD,retail,D37607,US,3,3,3522,847.05,2,0
bd663f53-07b7-464c-9780-7f385242b5e5,2025-08-30T21:16:32.015811,C7003,M4188,140.98,CAD,utilities,D22242,CA,21,5,2325,414.54,2,0
71b22d5b-52cf-4d2c-b0f6-3f051ce4275b,2025-07-31T21:18:14.015811,C7697,M2543,73.36,CAD,retail,D32093,AU,21,3,597,360.77,4,0
62284bc5-3cfa-4934-b3fe-a42c50426468,2025-08-06T04:57:35.015811,C12583,M4050,118.59,CAD,entertainment,D98431,CA,4,2,3483,191.87,5,0
e3f1b269-78fb-4297-ae1f-2c5436d928ba,2025-10-07T22:33:55.015811,C18266,M2042,50.91,CAD,travel,D73260,IN,22,1,2600,521.22,4,0
4f2a4c77-49a4-4810-9540-a2b5b19e42cc,2025-07-16T18:27:29.015811,C17953,M3653,141.47,CAD,retail,D83580,GB,18,2,4271,386.02,3,0
8b5603b0-91cf-4665-bc70-c6d7b7d34692,2025-09-15T01:47:16.015811,C7684,M2226,101.19,CAD,retail,D19770,US,1,0,3138,641.69,0,0
7f957cef-f5f4-45e9-a3ef-a8202f11b835,2025-09-10T16:34:23.015811,C17781,M3817,123.25,CAD,grocery,D76557,CA,16,2,4717,281.05,3,0
c0f01663-4331-4140-b657-43e7e4284b5b,2025-08-02T11:45:40.015811,C17896,M4942,85.2,CAD,grocery,D87671,AU,11,5,1353,1044.21,4,0
